职位名称,薪资,工作经验,更新时间,学历要求,岗位评分,福利,公司名称,公司规模,公司类型,岗位链接,公司链接,公司地址,职位详情
15-20K：高级程序员/软件开发/.net/C#（港资公司）,15K-20K,3-5年,2019-08-20 11:05:54,本科,11,"五险一金,年底双薪,加班补助,全勤奖,带薪年假",上海中原物业顾问有限公司,10000人以上,外商独资,https://jobs.zhaopin.com/CC133675644J00407323505.htm,https://company.zhaopin.com/CZ133675640.htm,鲁能国际中心C座18楼,"1、年龄：28-36岁；2、专业：本科以上学历,计算机或相关专业；3、知识技能：3.1、精通C#，熟练使用VS.NET 2003、VS.NET2008、VS.NET 2012、3.2、熟练使用主流数据库sqlserver 2000、sqlserver2008、mysql、oracle3.2、熟练使用主流数据库sqlserver 2000、sqlserver2008、mysql、oracle3.3、编写高效的sql脚本、视图、存储过程3.4、熟练使用div、javascript、css、html3.5、熟练使用常用代码管理工具sourcesafe、svn3.6、熟悉MVC架构3.7、熟悉项目管理的基本流程：需求、开发、测试、代码review、风险控制等环节3.8、了解工作流的基本原理、使用过K2工作软件进行开发3.9、了解人事管理软件的业务知识4、工作经验：4.1、 3年以上大型项目开发经验5、素质要求：5.1、具备良好的沟通协调能力、组织能力、表达能力、较强的执行力；5.2、良好的团队精神，工作积极主动、责任心强；5.3、能够有吃苦肯钻研的精神(一) 主要工作职责：1、负责客户需求的沟通、开发2、负责数据库的性能优化和代码优化联系方式：应聘邮箱：************************"
数据分析及开发工程师（Python）,10K-16K,1-3年,2019-08-19 09:05:37,本科,12,"五险一金,年底双薪,带薪年假",上海喜士多便利连锁有限公司,1000-9999人,民营,https://jobs.zhaopin.com/CC000584094J00315376302.htm,https://company.zhaopin.com/CZ000584090.htm,上海市静安区江场三路301号5楼,工作描述：1、根据业务单位需求完成数据收集和整理；2、配合大数据分析师完成数据处理算法和应用的开发；3、研究当前成熟的AI技术对公司业务改善的可行性；岗位要求:1、计算机相关专业，精通python编程；2、对自然语言处理有兴趣；3、可以设计编写爬虫软件收集互联网数据，最好有一定的大数据处理经验。4、熟悉关系型数据库（Oracle/MySQL）和SQL语法；5、有良好的代码编写和管理习惯，熟悉一种主流的版本控制系统（SVN/Git）；6、善与人沟通、责任心强、具有团队合作精神、具备良好的自学能力和独立思考解决问题的能力。联系方式：杨小姐 ①③⑥⑥①⑨⑧⑥⑧②⑥
Python工程师,6K-8K,不限,2019-08-20 15:54:50,大专,587,"五险一金,年底双薪,包吃,包住,带薪年假",上海集钢电子商务有限公司,100-499人,民营,https://jobs.zhaopin.com/399612635356609.htm,https://company.zhaopin.com/CZ399612630.htm,就近安排,岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休，提供企业级的岗前培养福利；
Python工程师,6K-8K,不限,2019-08-20 15:58:54,大专,586,"五险一金,绩效奖金,节日福利,交通补助,年底双薪",上海怡胜信息科技有限公司,100-499人,民营,https://jobs.zhaopin.com/413814238255430.htm,https://company.zhaopin.com/CZ413814230.htm,就近安排,岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休，提供企业级的岗前培养福利；
高级python开发工程师,25K-40K,5-10年,2019-08-20 17:16:40,本科,569,"五险一金,绩效奖金,全勤奖,餐补,带薪年假",上海有孚网络股份有限公司,100-499人,民营,https://jobs.zhaopin.com/CC000636993J00233315504.htm,http://special.zhaopin.com/sh/2013/11214/yovole022078,上海市杨浦区国定路323号3号楼12楼,"职位描述1.根据产品或项目的要求，参与业务分析和系统设计；2.完成编程、调试和单元测试工作；3.负责相关开发文档的编写；职位要求1.本科以上学历，计算机相关专业毕业；2个以上完整项目经验；2.有至少三年以上Python开发经验，能独立解决开发过程中遇到的各种问题；3.熟悉Django,了解HTTP协议,有Web应用程序开发经验;4.了解数据库原理,至少熟悉MySQL数据库,至少了解一种NoSQL数据库;5.熟悉Linux,对CentOS有深入了解;6.熟悉TCP/IP协议,有网络服务编程经验者优先;7.有丰富数据库使用经验者优先;8.有JAVA开发经验者优先；9.良好的编码风格和编程习惯，对高质量的代码有执着的追求;熟练掌握SVN，Git等代码版本管理工具的试用;10.良好的团队精神和沟通能力，高度的事业心和责任感，工作认真负责，具有良好的职业操守。"
Python开发工程师,9K-15K,1-3年,2019-08-20 17:12:04,本科,560,"五险一金,餐补,通讯补助,弹性工作,高温补贴",上海云深网络技术有限公司,20-99人,民营,https://jobs.zhaopin.com/547768720250078.htm,https://company.zhaopin.com/CZ547768720.htm,上海市浦东新区盛荣路88弄盛大天地源创谷2号楼201室,[职位描述]1. 参与产品需求分析和评审；2. 负责模型设计、详细设计和接口设计与评审；3. 编码实现功能需求，修复Bug缺陷和代码评审；4. 编写自动化测试用例。[职位要求]1. 全日制大学本科及以上学历，计算机相关专业；2. 至少一年及以上Python开发经验，有良好的编程能力；3. 熟练使用SQL，熟悉PostgreSQL、MySQL等数据库；4. 熟悉pep8规范，有良好的编程风格；5. 具有良好沟通能力、学习能力和团队协作能力，责任心强，积极主动，工作细致认真，有耐心。6. 实习生岗位开放，欢迎计算机或相关专业的全日制在校同学申请。【工作待遇】公司福利： 绩效奖金、交通、通讯和餐费补贴、手机补贴、节假日补贴、团队聚餐，旅游活动、免费零食，五险一金，享受国家法定福利入职高配： Apple苹果电脑【工作地点】上海市浦东新区
初级python工程师,8K-10K,1-3年,2019-08-20 18:04:08,本科,559,"带薪年假,通讯补助,定期体检,节日福利,员工旅游",上海浦东软件园信息技术股份有限公司,20-99人,股份制企业,https://jobs.zhaopin.com/CC120720281J00198305105.htm,https://company.zhaopin.com/CZ120720280.htm,上海浦东新区祖冲之路1505弄100号3幢4C,"岗位职责:负责后端系统的开发；爬虫开发岗位要求：1、熟悉python，具有Flask的线上项目经验，有WEB开发工作经验为佳；2、熟悉使用Git进行代码版本管理；3、习惯在Linux/Unix下进行日常开发，了解Linux下的服务器级应用程序，如Nginx,MySQL/Postgresql,Redis, ES等；4、熟悉MySQL或Postgresql,熟悉使用ORM框架；5、熟悉HTTP协议，了解RESTful；6、熟悉scrapy、selenium优先考虑；了解一些自动化测试方法及工具者、了解自动化部署并有实际使用经验者优先考虑；7、具备清晰的逻辑思维能力，擅长处理业务逻辑；8、具备较强的自学能力，好奇心强，善于沟通，有团队协作意识。工作地址上海浦东新区祖冲之路1505弄100号3幢4C"
python后端工程师,10K-15K,1-3年,2019-08-20 18:04:08,本科,558,"交通补助,带薪年假,通讯补助,定期体检,节日福利",上海浦东软件园信息技术股份有限公司,20-99人,股份制企业,https://jobs.zhaopin.com/CC120720281J00206374705.htm,https://company.zhaopin.com/CZ120720280.htm,上海浦东新区祖冲之路1505弄100号3幢4C,"岗位职责:-负责后端系统的开发；岗位要求：1、3年以上WEB开发工作经验，1年以上Python开发，熟悉python并使用Flask开发过一个项目以上;2、必须熟悉使用Git进行代码版本管理;3、必须熟悉并习惯在Linux/Unix下进行日常开发，了解Linux下的服务器级应用程序，如Nginx,MySQL/Postgresql, Redis, ES等;4、熟悉MySQL或Postgresql,了解ORM，能够编写DDL，DML；5、熟悉HTTP协议，了解RESTful；6、了解自动化部署并有实际使用经验者优先考虑；7、了解一些自动化测试方法及工具，熟悉BDD/ATDD、TDD开发模式并有实际使用开发者优先考虑；8、了解敏捷开发并能够接受者优先考虑；9、具备清晰的逻辑思维能力，擅长处理业务逻辑；10、具备较强的自学能力，好奇心强，善于沟通，有团队协作意识。"
Python数据分析工程师-ADAS,13K-22K,不限,2019-08-20 11:13:26,本科,555,"五险一金,全额公积金,定期体检,餐补,周末双休",北京经纬恒润科技有限公司海淀分公司,1000-9999人,民营,https://jobs.zhaopin.com/CC443446127J00156572213.htm,https://company.zhaopin.com/CZ443446120.htm,北京市海淀区知春路7号致真大厦D座6层,岗位职责：1. 负责底层数据库配置文件以及二进制数据的解析与写入；2. 负责流式数据服务器的设计与搭建；3. 负责流式数据分析架构的设计与开发。任职要求：1. 本科及以上学历，计算机、汽车、控制或相关专业；2. 3年以上Python/C++/C开发经验，包含至少 1年以上的数据分析相关经验；3. 对MySQL及任意一个NoSQL有深入的了解；4. 做事具有条理性，具有良好的自学能力、分析问题以及解决问题的能力；5. 熟练掌握多进程/多线程技术，具有大规模分布式系统开发经验者，从事过汽车电子相关工作优先。
Python/Odoo高级开发工程师,10K-20K,1-3年,2019-08-20 16:25:26,大专,554,"五险一金,绩效奖金,年终分红,加班补助,通讯补助",上海企通软件有限公司,20-99人,民营,https://jobs.zhaopin.com/137771372250422.htm,https://company.zhaopin.com/CZ137771370.htm,上海市浦东南路2250号创智B座408室,"职位描述：1、用Python开发Odoo（OpenERP）客制化新模块；2、实现Odoo和其他系统的接口，比如电商平台、财务软件或ERP（SAP/金蝶/用友）等；3、以Odoo作为平台开发前端网站；4、负责设计文档、技术文档、用户文档、实施文档的编写；5、对前瞻技术研究，站在用户体验角度提出产品改善意见；6、负责成员技术培训及指导。岗位要求：1、3年以上Python/Odoo开发经验，精通Python编程，掌握Python的高效写法；2、熟悉Odoo框架，了解Odoo使用的基本Python库，能熟练的对Odoo (OpenERP)进行二次开发的优先考虑；3、熟悉JavaScript，熟悉Linux操作系统，熟练掌握Shell脚本语言；熟悉使用git等代码管理工具；4、熟悉PostgreSQL数据库，能熟练编写sql语句；5、有HTML 5, CSS 3前端开发经验者优先；6、具备大规模高并发访问的服务集群架构设计和开发经验者优先；7、有钻研问题并解决问题的兴趣和毅力，有团队合作精神、责任心、能接受建议，具备良好的表达和沟通能力。有较强的自学能力和技术攻关能力；8、有一定的英文水平者优先考虑."
python工程师,15K-20K,3-5年,2019-08-20 09:13:38,本科,548,"五险一金,带薪年假,节日福利,周末双休,员工旅游",上海塑盈供应链管理有限公司,100-499人,民营,https://jobs.zhaopin.com/CC827304260J00372537203.htm,https://company.zhaopin.com/CZ827304260.htm,上海市普陀区中山北路2299号中山化工市场2楼,职责描述：1、深入理解业务流程，建立业务数据指标体系与模型；2、对接投研部门需求，基于公司先有的数据建立行情数据库分析系统；3、根据业务需求，进行数据搜集、清洗、分析挖掘工作，完成各期货产品分析报告；4、基于数据，设计调整算法，总结有价值信息，为业务决策、管理等提供支持；5、参与企业数据产品的设计与实现。任职要求：1、精通Python语言，有Web后台服务开发的实际项目经验；2、熟练掌握至少一门Python Web开发框架（Tornado、Django、Flask等)；3、熟悉掌握至少一门Python 爬虫开发框架，精通selenium;4、熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB)；5、熟悉常用数据挖掘算法（如分类、聚类、回归等，有pytorch 经验优先）；6、有独立分析和解决问题的能力，有良好的团队合作精神，7、有金融方面开发经验者优先。
python开发工程师,10K-15K,1-3年,2019-08-20 12:47:40,大专,539,"五险一金,年底双薪,股票期权,加班补助,带薪年假",上海金蝙金蝠娱乐咨询管理有限公司,20-99人,民营,https://jobs.zhaopin.com/CC840266840J00383477205.htm,https://company.zhaopin.com/CZ840266840.htm,黄浦区蒙自路169号3号楼202室,岗位要求：1、独立完成支付平台的设计与开发；2、配合团队其他成员进行模块开发及整合；3、维护所负责的支付平台，并不断持续优化功能系统；4、确保所负责的服务模块能够达到产品要求的质量标准（响应、错误率、不间断服务指标）。任职要求：1、全日制统招本科以上学历，硕士更佳，精通python，熟悉flask、Django等主流框架，3年以上python工作经验；2、有3个及以上API接口开发经验，能够熟练使用VUE、HTMIL、CSS等前段技术；3、有Gunicorn、nginx的部署经验；4、熟练操作及设计mysql、oracle数据库;5、对Java有一定了解；6、有良好的代码编写习惯，熟悉使用git等代码管理工具；7、独立解决问题的能力 有良好的团队工作意识 能够承担压力；8、电商平台从业者优先，后台开发经验丰富者优先。
Scratch/Python课程设计师,8K-15K,不限,2019-08-20 10:12:13,本科,538,"带薪年假,节日福利,五险一金,生日福利",立乐教育科技(上海)有限公司,20-99人,合资,https://jobs.zhaopin.com/CC457165781J00377377903.htm,https://company.zhaopin.com/CZ457165780.htm,上海市普陀区祁连山南路2891弄100号盛源科技园D栋4楼406,岗位职责：1、主要负责协助课程设计师团队完成产品的课程开发工作，包括教学案例作品的设计与制作相应的技术文档（教材、手册等）；2、参与编程课程开发工作，研究和设计基于公司产品的课程体系与教学模式。3、支持并提供教学老师在课前、课中以及课后所需的材料。任职资格:1、统招本科及以上学历，师范类、理工类、设计创意类相关专业；2、热爱教育行业及愿意推广编程教育、计算思维教育；3、学习能力、团队合作能力强，对前沿的科技教育有浓厚兴趣；4、具备一定编程基础，熟悉Scratch图形化编程、Python编程者优先。
python开发工程师,15K-20K,1-3年,2019-08-20 13:35:22,本科,536,"五险一金,补充医疗保险,节日福利,弹性工作,绩效奖金",上海华钦瑞成信息技术有限公司,不限,其它,https://jobs.zhaopin.com/CC525555530J00304290702.htm,https://company.zhaopin.com/CZ525555530.htm,浦东新区张江高科,.其中1-2年大数据相关经验，python开发熟练，有spark开发经验加分，熟悉JAVA加分，英语读写熟练，可简单开口要求统招本科，计算机相关专业
python开发,12K-18K,3-5年,2019-08-19 09:12:06,本科,530,"五险一金,带薪年假,交通补助,餐补,定期体检",深圳市网新新思软件有限公司,1000-9999人,上市公司,https://jobs.zhaopin.com/CC469912010J00235437402.htm,https://company.zhaopin.com/CZ469912010.htm,陆家嘴,岗位职责：1、KYM项目因子开发、模型开发2、策略团队衍生指标开发岗位要求：1、参与指标计算开发工作，能熟练运用Python解决业务需求，了解Python性能调优；2、熟练运用SQL，熟悉主流数据库之一：Oracle、MSSQLSever、PostgreSQL、MySQL等主流关系型数据库，具备一定的SQL调优能力；3、熟悉Mongodb等NoSQL数据库，有金融大数据开发经验优先；4、熟悉Linux，了解基本的linux操作命令；·5、具有良好学习能力、分析能力和解决问题的能力；6、能接受加班，主动性强愿意自学，提高自身技术水平7、有金融行业背景者优先此岗位人力外包岗，朝九晚六，双休，13薪，五险一金
爬虫开发工程师（Python）,8K-16K,3-5年,2019-08-20 10:40:39,本科,523,"五险一金,年终分红,餐补,节日福利",苏州万恒达新资产管理有限公司,20人以下,不限,https://jobs.zhaopin.com/CC507517230J00309048404.htm,https://company.zhaopin.com/CZ507517230.htm,上海,岗位职责:1、负责搭建或维护爬虫系统开发网页数据的自动化爬取脚本2、负责数据的抓取、解析、清洗、入库3、研究设计爬虫模板提高扩展性加快开发效率4、持续优化系统提高系统的稳定性5、与大数据工程师对接，完成实时数据与离线数据的爬取与对接任职资格:1、三年以上爬虫开发，内容提取工作，有电商网站抓取经验者优先2、精通网页抓取原理及技术，熟悉基于COOKIE或JWT网站登录原理3、精通Python，对HTTP协议及HTML有深入的了解4、精通正则表达式，DOM，XPath，CSS5、熟悉scrapy，selenium，常用反爬虫策略6、熟悉高并发、高性能的分布式系统设计及应用，有数据库调优，海量数据储存和7、处理经验者优先8、熟悉python开发框架，django或是flask优先9、具备良好的编程习惯和算法基础，具有较强的分析解决问题能力10、学习能力强，有一定的抗压能力，善于沟通和团队协作，乐于分享
python全栈开发工程师,10K-15K,3-5年,2019-08-20 09:29:53,大专,522,"绩效奖金,加班补助,全勤奖,带薪年假,员工旅游",上海欧锐信息咨询有限公司,20-99人,民营,https://jobs.zhaopin.com/CC175981210J00263628102.htm,https://company.zhaopin.com/CZ175981210.htm,隆昌路619号城市概念2号楼B11,"岗位职责：1.领导公司数据可视化项目,具备一定产品经理能力，有爬虫经验；2.负责可视化展示设计的各个维度（如UI设计、可视化组件开发、定制化组件等）；3.清晰、美观和逻辑的表达内容，提供流畅美观并可自定义的数据展示效果，保证兼容性与适应性；4.针对客户的需求修改界面完成快速迭代，满足客户需求。岗位要求:1.熟练使用 python .net2.熟练使用 Flask2.熟悉可视化技术，包括但不限于 Echarts、D3、ighcharts、Threejs、WebGL；3.熟悉模块化、前端编译和构建工具，熟练运用主流的 JS 库和开发框架，例如：ReactJS、VueJS、Webpack等；有VueJS经验者优先4.掌握多种图表控件库，具备表格化、图形化的数据呈现能力5.熟练使用 git、github、linux 等工具;6.有良好的编码习惯, 能够编写清晰, 易于维护的代码;加分项:1.有前端数据可视化开发经验优先2.有 Flask 开发经验优先"
IT培训讲师（Python）,6K-12K,不限,2019-08-20 15:02:03,本科,508,"每年多次调薪,五险一金,绩效奖金,年终分红,带薪年假",中公教育上海分公司,100-499人,民营,https://jobs.zhaopin.com/217000521272877.htm,https://company.zhaopin.com/CZ217000520D00112051711.htm,杨浦区国定东路创业者公共实训基地,"我们需要你：1、完成相关的教学资料（实训大纲、教学PPT、教学用书、教学案例等）的研发工作；2、按照教学规范和教学大纲高质量完成Python课程的授课任务；3、带领学员参加实训并指导学员完成实操项目；4、根据学生及市场需要，高质量完成公开课、讲座、网络直播课等授课任务；5、结合搜索引擎的发展变化，实时改进教学方法，完善教学体系；6、完成课程辅导工作，解答学员课程疑问，保证学员的学习质量；7、配合其它部门和集团完成相关工作。我们只希望你：1、 热爱教育行业，计算机相关专业，大学本科及以上学历，两年或以上工作经验；2、 较好的心理素质，能够承受压力，具有较强的事业心与团队协作精神；3、 表达能力强，声音清晰自然，个性开朗，乐于与人交流；4、 熟练掌握大数据相关算法与数据结构；5、 精通Java语言开发经验，特别是数据库和多线程开发，熟悉常见的Java开发框架及开发能力；6、 熟练掌握Python编程语言与机器学习框架；7、 理解框架的设计思想及实现，具有良好的代码风格、接口设计与程序架构；8、 2年（含）以上对于Hadoop、Hive、Impala, Hbase、Spark、Sqoop有实际的编码能力和海量数据的自动化分析处理项目经验；9、  熟悉主流分布式处理框架，基于Hadoop的数据挖掘、大数据组件开发和封装；10、有一年以上教学经验者优先考虑。当然，我们将给予你丰厚的福利，广阔的发展~来中公，你将拥有：1、薪资标准：根据实际授课能力、面试表现以及学历背景等确定具体薪酬，年薪12万起，上不封顶；2、基本福利：五险一金+带薪假期(年假、婚假、产检假、产假、每天1小时哺乳假)+年终奖+带薪培训+阳光互助基金等；3、文娱福利：年度体检+年度旅游+员工健身房+员工餐厅等；4、特殊福利：工作地点双向选择，31家省级研究院遍布全国范围内，公司会充分尊重员工对工作地点选择的意愿；5、长期激励计划：股权激励；And more......更多精彩等你来~招聘城市：全国省会城市及直辖市"
Python开发,15K-20K,3-5年,2019-08-19 10:34:54,大专,507,"每年多次调薪,周末双休,五险一金,绩效奖金,带薪年假",武汉佰钧成技术有限责任公司,1000-9999人,民营,https://jobs.zhaopin.com/CC364485728J00402260105.htm,https://company.zhaopin.com/CZ364485720.htm,上海市青浦区国家会展中心,岗位要求：1.3年以上python全栈开发工作经验；如果有c，go，java经验更加好2.熟悉各种开源安全工具和组件，熟读过源码，具有研究和应用能力；3.github上有开源安全产品或有互联网项目背景优先考虑。4. Flask和django源码必须熟读80%以上，并且熟练掌握实现方法；4.热爱技术，喜欢专研开源产品工作内容：1.负责研发和维护公司内部的信息安全平台，检测、监控、阻断系统或其他全自动化工具；2.负责安全开源系统的选型、定制开发和维护推广。3.构建信息安全管理平台来固化信息安全流程；4.持久化和集中化各种孤立的商业或开源安全产品的数据；5.部署一些开源安全设备，例如基于openresty和lua的waf，cft网站等等
Python web 开发工程师,10K-15K,3-5年,2019-08-20 09:59:06,本科,506,"周末双休,补充医疗保险,五险一金,采暖补贴,交通补助",东软云科技有限公司,1000-9999人,合资,https://jobs.zhaopin.com/CC663299424J00321138307.htm,https://company.zhaopin.com/CZ663299420.htm,闵行区紫竹园英特尔现场,"1、熟练使用python，至少两至三年以上开发经验；2、熟悉常见python web框架，像django,flask等至少其中一种使用经验；3、熟悉基于restful Framework 开发api；4、熟悉前端HTML, JavaScript/JQuery ,CSS技术，能用已有的前端开源框架快速构建系统模块；5、能独挡一面，能独立完成从前端到后端整个流程的模块设计和功能实现；6、能够完成自己开发模块和他人开发模块的测试，善于沟通和有效反馈；7、Advance, big plus capability；熟悉C#， 有一年以上开发经验的优先；8、 熟悉自动化测试框架，了解STAF框架的优先。"
Python开发工程师,10K-18K,3-5年,2019-08-16 17:43:14,本科,506,"周末双休,五险一金,弹性工作,不加班,节日福利",瞬联讯通科技(北京)有限公司,1000-9999人,外商独资,https://jobs.zhaopin.com/CC230292410J00055615013.htm,http://special.zhaopin.com/bj/2012/sl040674/index.htm,浦东区,岗位职责：Python后台开发职位要求：统招本科（一本、二本）及以上学历，计算机相关专业，3年以上Python后台开发经验。1.计算机等相关专业本科及以上学历，若能力较强可放宽标准；2.扎实的计算机基础理论基础，对常见数据结构和面向对象设计有深入理解；3.熟悉Python以及Python Web开发框架如Django，flask等，具有一年及以上项目实战经验；4.熟悉MySQL/Oracle/Redis等其他一些结构化/非结构化数据库的应用；
急：高级python开发工程师,薪资面议,5-10年,2019-08-19 09:37:57,本科,504,"周末双休,五险一金,绩效奖金,全额公积金,年底双薪",中软国际科技服务有限公司深圳分公司,10000人以上,上市公司,https://jobs.zhaopin.com/CC508620126J00319474905.htm,https://company.zhaopin.com/CZ508620120.htm,上海市浦东新区福山路455号  全华信息大厦9楼（4号浦电路）,"1、 熟悉python编程，有大型项目开发经验2、 熟悉python多进程、多线程、分布式应用开发，熟悉tornado,django,web.py等网络开发框架3、 熟悉前端开发，熟悉js/css/html编写，至少熟悉一种前端框架4、 熟练使用git、svn、jira等协助工具5、 熟悉操作使用linux操作系统的，熟悉网络知识如http、tcp/ip协议6、 有开源github项目、个人博客或StackOverflow较高积分者加分。"
自动化测试(Python/shell),11K-15K,1-3年,2019-08-16 17:45:42,本科,503,,瞬联讯通科技(北京)有限公司,1000-9999人,外商独资,https://jobs.zhaopin.com/CC230292410J00153653713.htm,http://special.zhaopin.com/bj/2012/sl040674/index.htm,黄浦区,职责：1)测试用例设计与开发;2)平台功能及性能测试;3)测试执行、分析及报告;4) Bug分类和分析;资格:o 2年以上软件验证和/或开发经验;o熟悉Linux操作和shell/Python编程;有Linux内核经验者优先;o有Rtos经验，Posix优先;o需要良好的沟通技巧
pdk开发工程师python,6K-12K,1-3年,2019-08-15 19:49:12,本科,501,"五险一金,年底双薪,带薪年假,定期体检",中国科学院上海微系统与信息技术研究所,500-999人,事业单位,https://jobs.zhaopin.com/CC191763027J00292821407.htm,http://special.zhaopin.com/sh/2010/sim102822/index.htm,长宁路865号,岗位职责：负责定制集成电路设计EDA过程中编程技术支持要求：1.熟悉python/tcl/perl语言，实现pdk开发和验证的自动化；其他流程自动化过程中小程序开发的支持；2.使用skill语言独立开发超导pdk library；32.掌握cadence virtuoso工具，独立完成pdk的验证工作。
python高级开发工程师（金融科技）,15K-20K,5-10年,2019-08-16 13:53:03,本科,496,"周末双休,年终分红,餐补,交通补助,补充医疗保险",交银企业管理服务(上海)有限公司张江高科技园区分公司,1000-9999人,其它,https://jobs.zhaopin.com/CC214460312J00277356408.htm,https://special.zhaopin.com/Flying/Society/20190816/21446031_13200672_ZL09274/index.html,钦江路333号,主要职责：1、 负责项目/任务的功能设计，根据开发进度和任务分配，完成相应的模块设计及功能开发。2、 负责现有系统的BUG修复以及系统运营过程中发现的技术问题。3、 负责相关技术文档的编写及维护工作。岗位要求：1、 本科及以上学历，5年及以上工作经验。2、 有责任感、可承受多任务的工作压力，有复杂业务系统开发工作经验者优先。3、 需精通python、JAVA、redis、postgresql或mysql中至少2项。4、 熟练使用常规的Linux系统操作命令及相关软件。5、 良好的适应能力和解决问题的能力，有快速学习和掌握知识技能的能力。
python开发工程师,10K-15K,1-3年,2019-08-15 18:06:53,本科,494,"五险一金,绩效奖金,餐补,通讯补助,带薪年假",全美在线(北京)教育科技股份有限公司,500-999人,上市公司,https://jobs.zhaopin.com/298708335250309.htm,https://company.zhaopin.com/CZ298708330.htm,浦东软件园三期博云路36号,岗位职责：1、 负责互联网网站产品开发；2、 参与产品设计、架构设计和代码编写；3、 负责问题排查、调试、性能调优等开发相关工作。岗位要求：1、 本科及以上学历，计算机相关专业；2、 学习能力强；3、 精通Python，有2年以上开发经验；4、 熟悉Flask、Django等主流开发框架 ；5、 了解HTML5，JavaScript，CSS3 等前端技术；6、 熟悉MySQL、MongoDB数据库、数据建模、数据处理调优；7、 熟悉Linux环境下的开发环境；8、 熟练掌握git代码管理工具和敏捷开发流程；9、 习惯阅读英文技术文档；10、富有团队合作精神，乐于接受挑战，能承受工作压力。
python开发工程师,8K-10K,1-3年,2019-08-12 20:19:14,大专,493,"五险一金,年底双薪,带薪年假,员工旅游,节日福利",上海蜗兴科技有限公司,20-99人,民营,https://jobs.zhaopin.com/CC839265400J00260949205.htm,https://company.zhaopin.com/CZ839265400.htm,上海市浦东新区张江高科技园区张东路1761号创企天地4号楼5楼,任职要求：1、计算机相关专业大专及以上学历；2、有Python开发经验，熟悉Django、SQLAichemy等框架；3、熟悉SQL能进行简单的数据统计、分析；4、熟悉Web前端技能，包括HTML/CSS/JavaScript；5、对Web后端技术架构有基本的理解；6、有良好的团队合作精神，有责任感，有较好的沟通能力；7、喜欢尝试新的技术，对技术趋势和思路上能提出自己的见解。岗位职责：1、参与公司网站开发、维护、实施、测试；2、负责现有网站的维护和升级；3、负责解决开发过程中的技术问题；4、根据开发规范与流程独立完成编码、测试及相关文档；福利待遇：1、丰富多彩的集体活动（员工旅游，节日聚会，生日趴，年会等等。）2、入职购买五险一金、周末双休、员工旅游、员工体检、带薪年假。
python开发经理（金融科技）,15K-20K,5-10年,2019-08-16 13:52:10,本科,492,"周末双休,年终分红,餐补,交通补助,补充医疗保险",交银企业管理服务(上海)有限公司张江高科技园区分公司,1000-9999人,其它,https://jobs.zhaopin.com/CC214460312J00286744308.htm,https://special.zhaopin.com/Flying/Society/20190816/21446031_13200672_ZL09274/index.html,钦江路333号,主要职责：1、 负责项目或任务的功能设计，根据开发进度和任务分配，完成相应的模块设计及功能开发。2、 负责现有系统的BUG修复以及系统运营过程中发现的技术问题。3、 负责相关技术文档的编写及维护工作。岗位要求：1、 本科及以上学历，5年及以上工作经验。2、 有责任感、可承受多任务的工作压力，有复杂业务系统开发工作经验者优先。3、 需精通python、JAVA、redis、postgresql或mysql中至少2项。4、 熟练使用常规的Linux系统操作命令及相关软件。5、 良好的适应能力和解决问题的能力，有快速学习和掌握知识技能的能力。
Python工程师,6K-8K,不限,2019-08-15 13:41:57,大专,492,"五险一金,绩效奖金,节日福利,交通补助",上海集钢电子商务有限公司,100-499人,民营,https://jobs.zhaopin.com/399612635354232.htm,https://company.zhaopin.com/CZ399612630.htm,,
Python工程师,6K-8K,不限,2019-08-15 17:07:02,大专,492,"五险一金,包吃,包住,14薪,无试用期",上海怡科信息科技有限公司,500-999人,民营,https://jobs.zhaopin.com/562244523362330.htm,https://company.zhaopin.com/CZ562244520.htm,就近安排,岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休，提供企业级的岗前培养福利；
