职位名称,薪资,工作经验,更新时间,学历要求,岗位评分,福利,公司名称,公司规模,公司类型,岗位链接,公司链接,公司地址,职位详情
python工程师,8K-10K,不限,2019-08-20 09:22:25,大专,463,"周末双休,五险一金,年底双薪,绩效奖金,全勤奖",上海煜喜环保科技有限公司,100-499人,不限,https://jobs.zhaopin.com/CZ714068380J00148506807.htm,https://company.zhaopin.com/CZ714068380.htm,,
Python工程师,8K-10K,1-3年,2019-08-20 09:22:24,大专,463,"周末双休,五险一金,全勤奖,绩效奖金,年底双薪",上海煜喜环保科技有限公司,100-499人,不限,https://jobs.zhaopin.com/CZ714068380J00151990807.htm,https://company.zhaopin.com/CZ714068380.htm,,
急招Python开发助理+福利好待遇好,6K-8K,不限,2019-08-20 09:22:32,大专,463,"周末双休,五险一金,年底双薪,绩效奖金,全勤奖",上海煜喜环保科技有限公司,100-499人,不限,https://jobs.zhaopin.com/CZ714068380J00126201907.htm,https://company.zhaopin.com/CZ714068380.htm,,
初级Python开发工程师,6K-8K,不限,2019-08-20 09:22:33,大专,463,"周末双休,五险一金,年底双薪,绩效奖金,全勤奖",上海煜喜环保科技有限公司,100-499人,不限,https://jobs.zhaopin.com/CZ714068380J00124285207.htm,https://company.zhaopin.com/CZ714068380.htm,,
Python开发工程师（双休）,8K-10K,不限,2019-08-20 09:19:35,大专,462,"五险一金,年底双薪,绩效奖金,不加班,节日福利",上海露善文化传播有限公司,100-499人,民营,https://jobs.zhaopin.com/CC872325800J00349251105.htm,https://company.zhaopin.com/CZ872325800.htm,,
python开发,6K-8K,不限,2019-08-20 09:22:18,大专,462,"周末双休,五险一金,年底双薪,绩效奖金,全勤奖",上海煜喜环保科技有限公司,100-499人,不限,https://jobs.zhaopin.com/CZ714068380J00333659107.htm,https://company.zhaopin.com/CZ714068380.htm,,
python前端开发工程师,10K-20K,3-5年,2019-08-14 19:50:30,本科,462,"员工旅游,五险一金,包吃,包住,年终分红",上海益者信息科技有限公司,20人以下,民营,https://jobs.zhaopin.com/CZ828678070J00251838908.htm,https://company.zhaopin.com/CZ828678070.htm,,
初级Python开发工程师,6K-8K,不限,2019-08-20 09:22:34,大专,462,"周末双休,五险一金,年底双薪,绩效奖金,全勤奖",上海煜喜环保科技有限公司,100-499人,不限,https://jobs.zhaopin.com/CZ714068380J00123696607.htm,https://company.zhaopin.com/CZ714068380.htm,,
Python开发工程师,10K-20K,不限,2019-08-14 10:54:56,本科,462,五险一金,北京金色华勤数据服务有限公司,100-499人,民营,https://jobs.zhaopin.com/428715824251194.htm,https://company.zhaopin.com/CZ428715820.htm,,
Python开发工程师,4K-6K,不限,2019-08-20 09:32:43,大专,462,"五险一金,年底双薪,绩效奖金,年终分红,餐补",上海安秉信息技术有限公司,500-999人,民营,https://jobs.zhaopin.com/CZ784983780J00324805203.htm,https://company.zhaopin.com/CZ784983780.htm,徐汇软件园,"1. 承担公司金融项目交易平台系统平台的架构研发，测试，维护；2. 负责详细设计文档编写，需求对接等；3. 根据公司技术架构，从事前沿技术研究。任职要求：1. 大专及以上学历，计算机及相关专业，1年及以上工作经验；2. 熟悉数据库，mysql,等；3. 优秀的沟通和表达能力，清楚的表达个人想法、理解他人观点，具备团队合作意识和推动协作达成的能力。"
