87534898,水上乐园滑梯竞速,游戏,7273,19,,1000万人在玩的爆款小游戏，夏日漂流，快来 划水，水上冲冲冲，水上滑梯乐园等你来~,"{'07-31': '7285', '08-01': '7234', '08-02': '7425', '08-03': '7389', '08-04': '7249', '08-05': '7327', '08-06': '7208', '08-07': '7229', '08-08': '7055', '08-09': '7315', '08-10': '7128', '08-11': '6965', '08-12': '7750', '08-13': '7675', '08-14': '7273'}"
87534815,成语中举,游戏,7214,723,,轻松学成语，开心涨知识。,"{'08-12': '7062', '08-13': '7161', '08-14': '7214'}"
87534814,火线部队,游戏,7138,798,,多人实时在线匹配，惊险刺激枪战，今晚吃鸡，大吉大利。,"{'08-12': '7068', '08-13': '7012', '08-14': '7138'}"
87534813,葫芦娃冲冲冲,游戏,7078,63,,“葫芦娃冲冲冲”是“葫芦娃”官方授权的跑酷射击类游戏,"{'08-12': '7749', '08-13': '7174', '08-14': '7078'}"
88688369,海盗来了,游戏,7032,708,北京豪腾嘉科科技有限公司,《海盗来了》是一款以海盗为题材的社交类小游戏。在这里您可以找到新的玩法，探索新的世界，结交新的朋友！,"{'07-16': '6782', '07-17': '6589', '07-18': '6465', '07-19': '6567', '07-20': '6564', '07-21': '6744', '07-22': '6719', '07-23': '6562', '07-24': '6805', '07-25': '6509', '07-26': '6814', '07-27': '6915', '07-28': '6699', '07-29': '6812', '07-30': '6735', '07-31': '6713', '08-01': '6802', '08-02': '6724', '08-03': '6728', '08-04': '6662', '08-05': '6649', '08-06': '6724', '08-07': '6911', '08-08': '6652', '08-09': '6647', '08-10': '6876', '08-11': '7003', '08-12': '7193', '08-13': '6989', '08-14': '7032'}"
87534816,全民CS,游戏,6999,824,,3D射击小游戏，还记得小时候玩过的CS吗？,"{'08-12': '6967', '08-13': '6834', '08-14': '6999'}"
87534894,水上跑酷大作战,游戏,6971,13,,3000万人在玩的爆款小游戏，夏日漂流，水上滑梯乐园等你来~,"{'07-31': '7153', '08-01': '7072', '08-02': '7098', '08-03': '7092', '08-04': '7171', '08-05': '7100', '08-06': '6989', '08-07': '6655', '08-08': '6530', '08-09': '6630', '08-10': '6417', '08-11': '6526', '08-12': '6384', '08-13': '6611', '08-14': '6971'}"
87598206,全民漂移3D,游戏,6893,853,个人,全民漂移，一款在抖音上火爆的赛车游戏。体验速度与激情，成为秋名山车神，狂暴飞车，飞驰人生，尽情漂移。全民飘逸，全民飘移。,"{'07-16': '7237', '07-17': '6976', '07-18': '7044', '07-19': '7277', '07-20': '7306', '07-21': '7136', '07-22': '7199', '07-23': '7366', '07-24': '7427', '07-25': '7246', '07-26': '7013', '07-27': '7025', '07-28': '6874', '07-29': '7183', '07-30': '6895', '07-31': '7134', '08-01': '7044', '08-02': '7045', '08-03': '6988', '08-04': '6951', '08-05': '6757', '08-06': '6799', '08-07': '6746', '08-08': '6949', '08-09': '6809', '08-10': '6634', '08-11': '6499', '08-12': '6613', '08-13': '6674', '08-14': '6893'}"
87535963,枪王之王×,游戏,6817,885,,开局一把枪，击中每一个在场的对手。,"{'07-16': '7732', '07-17': '7761', '07-18': '7820', '07-19': '7688', '07-20': '7311', '07-21': '7459', '07-22': '7397', '07-23': '7257', '07-24': '7186', '07-25': '7392', '07-26': '7251', '07-27': '7226', '07-28': '7043', '07-29': '7069', '07-30': '7417', '07-31': '7063', '08-01': '7189', '08-02': '7134', '08-03': '7289', '08-04': '7066', '08-05': '6893', '08-06': '7206', '08-07': '6720', '08-08': '6629', '08-09': '6815', '08-10': '6712', '08-11': '6645', '08-12': '7243', '08-13': '6519', '08-14': '6817'}"
88686822,几何大逃亡,游戏,6626,92,瀚叶互娱(上海)科技有限公司,我们是轻松休闲的竞技对抗游戏，欢乐球球的全民战争，全球同服小游戏，刺激战斗根本停不下来！,"{'07-16': '6849', '07-17': '6846', '07-18': '6661', '07-19': '6694', '07-20': '6945', '07-21': '6975', '07-22': '6808', '07-23': '6977', '07-24': '6777', '07-25': '6899', '07-26': '6769', '07-27': '6699', '07-28': '6655', '07-29': '6771', '07-30': '6888', '07-31': '6965', '08-01': '6732', '08-02': '6939', '08-03': '7035', '08-04': '7006', '08-05': '7137', '08-06': '6851', '08-07': '6714', '08-08': '6673', '08-09': '6932', '08-10': '6872', '08-11': '6944', '08-12': '6680', '08-13': '6655', '08-14': '6626'}"
